109 4 1 13 16 4 9 12 40 10 18
135 5 2 14 16 6 29 25 30 8 22
154 5 1 8 20 16 7 35 21 41 15
128 4 4 6 4 24 20 22 36 8 42
152 1 5 2 13 25 14 29 25 38 40
120 3 7 10 9 13 6 22 20 30 19
125 5 7 9 12 7 8 28 9 40 46
98 5 5 4 13 13 6 27 8 17 30
137 5 2 12 5 25 22 24 10 32 28
119 1 9 4 15 18 13 18 20 21 37
137 3 7 15 19 9 12 25 26 21 34
151 4 5 5 9 20 23 33 9 43 9
132 1 2 4 11 7 14 28 28 37 39
104 2 4 6 6 9 15 11 18 33 42
118 0 6 6 20 6 10 18 28 24 32
142 1 1 3 3 11 22 29 35 37 39
136 4 1 4 15 11 15 24 21 41 27
137 4 7 3 13 18 7 30 29 26 48
170 1 9 14 12 9 21 28 36 40 42
124 3 9 5 7 9 29 30 10 22 36
119 2 6 15 10 11 16 15 11 33 29
99 1 1 13 11 9 7 33 13 11 49
119 2 5 3 10 17 16 14 13 39 28
137 0 5 15 13 9 28 20 26 21 30
161 4 9 14 16 25 21 25 12 35 12
165 4 2 7 19 7 12 34 35 45 50
115 0 3 6 12 5 16 21 33 19 20
141 0 7 3 7 9 28 26 26 35 31
109 0 6 8 12 11 11 6 21 34 9
145 0 2 10 3 22 10 24 30 44 32
134 4 10 11 6 22 5 26 7 43 25
161 1 9 7 10 18 25 28 39 24 21
141 2 7 12 10 19 23 11 20 37 33
157 3 1 4 11 20 25 15 37 41 33
142 0 2 7 4 19 24 15 34 37 43
109 1 3 3 17 12 23 23 19 8 22
110 5 3 12 6 21 20 26 7 10 47
139 4 10 14 8 4 16 32 15 36 49
124 0 4 3 19 22 8 32 28 8 42
113 5 7 8 12 23 8 9 20 21 10
110 5 3 6 18 16 6 25 21 10 22
138 5 5 8 15 4 14 24 33 30 35
141 2 7 15 9 15 28 33 11 21 30
151 5 6 8 13 21 21 25 36 16 13
126 3 1 6 20 20 21 15 31 9 13
79 4 4 5 4 6 7 12 25 12 17
103 2 5 9 6 21 26 8 7 19 15
134 3 6 2 3 24 6 23 33 34 48
122 3 2 4 5 19 5 34 25 25 47
122 1 2 11 7 20 8 28 17 28 32
138 1 4 4 15 23 8 33 18 32 34
110 0 8 6 4 12 9 6 33 32 21
105 4 4 3 15 13 10 10 23 23 13
132 0 5 14 12 13 17 26 10 35 45
140 3 5 5 20 11 26 30 9 31 48
128 3 3 11 9 4 14 6 35 43 11
98 1 1 11 15 4 17 19 17 13 33
121 1 9 8 5 19 24 7 31 17 11
136 0 8 9 5 4 27 30 10 43 39
100 0 6 3 8 18 18 28 9 10 38
125 0 8 11 10 12 13 22 31 18 16
129 0 2 15 20 10 12 13 35 22 30
152 3 7 11 20 15 27 12 30 27 43
139 1 8 15 5 25 14 20 20 31 16
134 1 3 12 13 15 11 30 26 23 21
152 1 2 9 16 16 5 34 31 38 21
133 1 4 7 15 19 30 20 23 14 46
157 5 7 10 18 5 19 35 28 30 25
155 3 8 12 11 18 27 27 19 30 34
123 4 1 11 15 6 15 31 24 16 45
154 0 2 6 12 16 30 33 38 17 17
155 0 1 8 4 14 20 34 34 40 26
117 4 7 14 5 23 13 35 7 9 31
146 5 7 3 18 22 10 12 24 45 11
125 4 1 5 11 20 25 32 9 18 42
131 2 3 14 12 5 30 7 35 23 17
104 2 9 8 3 10 8 15 13 36 9
174 1 9 14 15 25 28 22 40 20 16
112 1 7 14 6 4 17 11 21 31 39
